tipo,ene-13,feb-13,mar-13,abr-13,may-13,jun-13,jul-13,ago-13,sep-13,oct-13,nov-13,dic-13,ene-14,feb-14,mar-14,abr-14,may-14,jun-14,jul-14,ago-14,sep-14,oct-14,nov-14,dic-14,ene-15,feb-15,mar-15,abr-15,may-15,jun-15,jul-15,ago-15,sep-15,oct-15,nov-15,dic-15,ene-16,feb-16,mar-16,abr-16,may-16,jun-16,jul-16,ago-16,sep-16,oct-16,nov-16,dic-16,ene-17,feb-17,mar-17,abr-17,may-17,jun-17,jul-17,ago-17,sep-17,oct-17,nov-17,dic-17,ene-18,feb-18,mar-18,abr-18,may-18,jun-18,jul-18,ago-18,sep-18,oct-18,nov-18,dic-18,ene-19,feb-19,mar-19,abr-19,may-19,jun-19,jul-19,ago-19,sep-19,oct-19,nov-19,dic-19,ene-20,feb-20,mar-20,abr-20,may-20,jun-20,jul-20
"Índice nacional de precios productor. Base Julio 2019=100 (SCIAN 2013), Construcción, Materiales, alquiler de maquinaria y remuneraciones, Índice general",70.75313823,70.87345018,70.89703499,70.79808488,70.72355367,70.61017729,70.27480406,70.09106138,70.37439064,70.32726184,70.17901,70.25975356,71.13938894,71.45088129,72.02863557,72.1385944,72.32877685,72.68374281,73.01143142,72.99826755,73.2918132,73.29210599,73.25727158,73.39122539,74.29655513,74.74017717,74.70346029,74.86036122,75.1552401,75.37331627,75.68200592,76.30861777,76.31718558,76.62805384,76.65179453,76.60222159,77.1206424,77.57904448,78.05515333,78.18777403,78.96603894,79.91504252,80.76431574,81.29784163,81.56870133,82.16288723,82.26143444,83.27215037,85.60263277,87.7657004,88.50950543,88.61681079,88.94547275,88.96162808,89.0816745,89.26307769,89.47466532,89.74037742,89.87200852,89.85619821,91.85334838,92.91366025,93.71560243,94.96294461,96.04546612,97.2481723,98.02964506,98.33796159,98.84789932,98.72549481,99.0446465,99.09460793,99.71243424,99.8586676,99.69227575,99.66645565,99.97360383,100.219823,100,100.0544037,100.1507835,99.71361081,99.2565964,99.04226334,99.32524182,100.1932657,100.8701645,102.5335314,101.9374195,101.5844653,101.8719484
"Índice nacional de precios productor. Base Julio 2019=100 (SCIAN 2013), Construcción, Materiales, alquiler de maquinaria y remuneraciones, Índice general, Subíndice materiales de construcción",69.62746068,69.57432949,69.52552495,69.39047152,69.28538715,69.12582824,68.72963742,68.49883586,68.82644333,68.77116858,68.59036562,68.68755447,69.59784311,69.81518412,70.42886259,70.51314602,70.69863319,71.10080207,71.47114171,71.42868648,71.75703665,71.73298011,71.68497582,71.80572346,72.74894733,73.03814385,72.97761242,73.12351404,73.44610432,73.67537828,73.99581386,74.70977875,74.6864008,75.04724353,75.06007912,74.97572308,75.52878302,75.95990788,76.47539583,76.59640211,77.45851303,78.53158987,79.47248038,80.07930015,80.37008796,81.07476741,81.15629981,82.34064831,84.99828551,87.45852872,88.12724291,88.18035397,88.55105899,88.53559377,88.65565782,88.86409225,89.11138154,89.37149901,89.50076235,89.47664808,91.77506724,92.88103198,93.78781324,95.04473106,96.28228076,97.6807408,98.51627201,98.86625595,99.40638576,99.22653093,99.56849343,99.60233385,100.09062,100.2052724,99.85035724,99.80875763,100.0473458,100.3055413,100,99.94317327,100.0487423,99.51715388,98.97991329,98.71415314,98.87543725,99.61829132,100.3058114,102.1782394,101.4734939,101.0877261,101.4128697
"Índice nacional de precios productor. Base Julio 2019=100 (SCIAN 2013), Construcción, Materiales, alquiler de maquinaria y remuneraciones, Índice general, Subíndice materiales de construcción, 01. Minerales no metálicos, Arena",65.10779304,65.54554137,65.97532778,66.60699027,66.55075254,66.6360027,66.69491325,66.63895667,66.85658726,67.20929354,67.61086164,67.62764846,68.2053417,69.14209129,69.57224635,69.99788992,70.22712323,70.41156866,70.42258722,70.35711792,70.64361869,70.84342147,71.07964015,71.49295946,72.21366224,72.58303538,72.8353837,72.82519814,72.82825673,73.08048062,73.75124671,74.13564066,74.13068135,74.35113768,74.59946189,74.60132328,75.24862263,76.00732935,76.53374028,76.37522382,76.67229512,77.20363994,76.91937566,76.81603887,77.16396829,78.25950915,78.87553329,80.62278954,83.46501801,85.88361429,88.61326823,88.31860547,89.7303948,90.23621248,90.48068805,90.73745841,90.70145939,90.41840602,90.68478656,90.68199043,91.23304181,93.09463675,93.52001616,94.35543715,94.76591869,95.71895289,96.36103637,96.37676,96.19814945,96.36890992,96.68298879,96.86471867,97.51329599,98.15926777,99.11651248,99.83339314,99.77027097,100.1461681,100,100.2177935,100.971211,101.2896164,100.882951,100.8423755,101.2920212,102.3837759,102.6997904,102.9363955,102.8150307,102.8451218,103.2366817
"Índice nacional de precios productor. Base Julio 2019=100 (SCIAN 2013), Construcción, Materiales, alquiler de maquinaria y remuneraciones, Índice general, Subíndice materiales de construcción, 01. Minerales no metálicos, Grava",63.54554285,63.76571502,64.16731879,64.53200534,64.40988453,64.48985685,64.8826186,65.194262,65.44176231,65.90180661,66.25809465,66.11989018,67.57821769,68.21191646,68.70042503,69.17822356,69.48600079,69.69508727,69.78531696,69.892957,69.88824601,69.89727121,70.03798871,69.96872602,70.61815392,70.99626806,71.01005953,71.13443609,71.67837648,72.16572555,72.76675112,73.35787281,73.04934605,73.30994296,73.34287179,73.43053906,74.16546932,75.29137112,75.9325505,75.83688472,76.04812965,76.45362739,76.18857732,76.8981115,77.48953888,79.05470614,79.76167594,81.10956784,84.47183977,86.90898329,89.06423606,88.91439826,89.82974519,90.30167509,90.64449101,91.16499663,91.31182921,91.74445982,92.14988452,92.21476035,92.36967662,93.94172653,94.29929092,94.9909248,95.44072681,96.34702426,96.36767105,96.43965214,96.22730051,96.37141322,96.49845057,96.77152111,97.49631328,98.26235628,99.41204507,100.0446452,99.86248594,100.0167019,100,101.5692824,102.447791,102.1402944,101.8632011,101.6471956,102.09016,103.2261986,103.4418844,103.7557915,103.8187667,103.7486285,104.4128275
"Índice nacional de precios productor. Base Julio 2019=100 (SCIAN 2013), Construcción, Materiales, alquiler de maquinaria y remuneraciones, Índice general, Subíndice materiales de construcción, 01. Minerales no metálicos, Tezontle",75.51333998,75.55472707,75.70926051,75.83933442,75.50847673,75.706072,75.97917636,76.3693591,76.5279205,76.3964323,76.50362244,76.94866018,77.38779741,77.51594293,77.17622142,78.52904359,80.00191446,80.00191446,80.00191446,80.36216622,80.7100953,80.90465721,80.90465721,81.75757059,82.14434757,83.20083039,83.41226336,83.41226336,83.41226336,83.60682527,83.85067461,83.11743132,83.40067645,83.40067645,83.13101892,83.48697925,83.45843664,83.45843664,83.22392759,83.56244601,83.65768087,83.96514572,85.55029573,87.65653381,88.30423941,88.69268037,88.68729018,89.01089566,89.47987629,90.44883126,90.49717506,90.79196751,90.96483832,92.92794896,93.47843817,94.42019106,94.83308661,94.83308661,94.31514587,94.31514587,95.55192844,96.09443668,96.32451197,96.65945477,96.87350813,97.09518827,97.14285014,98.17590428,98.44395533,99.34830357,99.48288302,99.57439271,99.87165491,99.28025334,99.90304968,99.74415513,99.80886097,99.98234556,100,100.0064671,100.3161227,100.3102252,100.3365019,100.1832715,100.4899237,100.5441735,100.7345776,100.7345776,101.6661144,103.2662699,103.2662699
"Índice nacional de precios productor. Base Julio 2019=100 (SCIAN 2013), Construcción, Materiales, alquiler de maquinaria y remuneraciones, Índice general, Subíndice materiales de construcción, 01. Minerales no metálicos, Tepetate y jal",64.36768127,64.30587048,63.62387264,64.51330908,64.4902337,64.58548498,64.34566726,64.26901547,64.41989582,64.63074348,65.0319099,64.6766529,64.73616865,65.1762818,65.31444805,65.17179927,65.63222782,65.41295347,64.77836729,65.02954614,65.10446351,65.10501064,64.88252494,64.86568838,67.16126029,67.83222225,67.9231403,68.15858337,70.708086,70.67972571,74.23454662,75.55301959,75.43266294,75.47802754,75.97391772,76.99637068,78.22196899,78.76768205,79.16126698,79.05998398,79.87233575,80.92697944,82.31688461,84.53084339,84.80385122,84.9759124,85.14761847,85.03445359,84.86021306,85.19039609,86.7445521,87.05839213,87.562644,89.99254002,91.05454858,91.24118947,89.9719461,90.50256037,90.48471107,91.24437771,91.42239591,91.57092284,91.59278877,92.58476046,94.24834506,94.43545071,94.62649175,94.65266366,95.02127678,95.59680449,96.89528811,96.89528811,98.52068554,98.65996253,98.80569886,99.19025264,99.19025264,99.04521007,100,100.8016056,100.5526958,100.8995436,100.8995436,102.5408446,102.2545913,102.1678798,102.4175149,102.6252027,102.6252027,102.5642973,102.6638612
"Índice nacional de precios productor. Base Julio 2019=100 (SCIAN 2013), Construcción, Materiales, alquiler de maquinaria y remuneraciones, Índice general, Subíndice materiales de construcción, 01. Minerales no metálicos, Piedra",70.68876943,70.77927501,70.81864158,70.83217681,70.96049055,71.29531405,71.56874547,71.33291238,72.32688831,72.54633855,72.3808385,72.29470126,72.73875676,73.05712698,72.7663129,72.74162378,72.85460589,72.98130252,73.09403292,73.36613678,73.54862149,74.03158584,74.32881036,74.37266936,75.16876206,75.80225508,76.02575952,76.3817088,76.55577674,76.6810263,76.71222333,76.72839154,76.85914425,77.02238675,77.09905328,77.10325887,77.39704696,78.0743669,78.70995416,78.67777376,79.09554396,79.47681997,82.33230371,82.36839975,82.46744764,82.85502543,83.11382985,84.1395221,86.94315769,89.00573531,90.26724124,90.52494544,90.54595061,90.41477644,90.00191206,90.28281273,89.98082499,90.55436003,90.59567564,90.79587653,91.74887739,92.69548673,93.49700406,95.26789478,95.21468974,95.67806683,95.72355915,96.01388148,95.18408227,95.40899174,96.39873623,96.53934873,97.13258834,97.87331948,99.47068709,99.60740423,99.63363888,99.81884264,100,101.530647,102.7487855,103.0587483,102.9991029,102.7822744,104.1181505,105.35122,108.3089865,108.3868278,108.2412061,108.2477382,108.891492
"Índice nacional de precios productor. Base Julio 2019=100 (SCIAN 2013), Construcción, Materiales, alquiler de maquinaria y remuneraciones, Índice general, Subíndice materiales de construcción, 01. Minerales no metálicos, Polvo de piedra",72.50228706,72.96221048,72.85745905,73.05990028,73.2400991,73.52845321,73.55056222,73.83220528,73.80344235,73.74426613,74.59886369,74.92286661,75.80279967,75.99862473,76.95329486,76.87312898,77.13313016,77.16135619,76.84189427,77.01005516,77.00852174,77.13381425,77.07437214,77.38023992,78.31054254,78.75959754,79.27088862,79.84355104,79.759921,79.82621897,80.21164351,79.34801933,79.46388532,79.57006327,79.64834195,80.08633296,80.83079821,81.26020372,81.81219551,82.055311,82.26581492,83.1527023,84.25547329,84.63008928,85.38169232,86.0816073,86.22947707,86.39897123,87.71690181,89.34373497,89.69498042,89.83064155,90.53090921,89.90647539,90.60120022,91.62262943,91.21378564,91.8147031,92.29480128,92.37108971,93.00400753,93.34532389,93.73160308,94.21478002,94.42180939,95.49766415,95.98234676,95.56351604,95.98919024,96.10176899,97.38124214,97.37333697,99.15275059,98.4124268,98.71384098,99.11359977,99.4481479,99.83151406,100,102.621265,103.198491,103.9448767,104.0108202,104.055363,104.2903587,104.5519408,105.131598,105.7253181,106.2453507,107.105689,108.0403419
"Índice nacional de precios productor. Base Julio 2019=100 (SCIAN 2013), Construcción, Materiales, alquiler de maquinaria y remuneraciones, Índice general, Subíndice materiales de construcción, 02. Cemento y concreto, Cemento",66.27161128,65.841121,65.33558295,64.60976875,64.2223785,63.8600007,63.3338706,63.771611,63.6471526,62.89500775,62.05105256,62.3654002,64.31610112,64.08217563,65.47042821,65.42980944,65.21684277,67.25371878,67.12030108,67.47603829,67.40298861,67.29934135,67.75103087,67.73981984,68.3221946,68.05505717,68.2852826,69.3247919,69.99627225,71.3797622,72.14902209,72.34776312,73.39447985,74.4284668,75.04858985,75.48334282,77.50785639,79.24722975,80.71169116,82.35265005,82.65494717,82.6925364,85.86551846,86.6881782,86.93809351,88.98049187,89.09548439,89.79529504,94.27358322,95.41512826,95.16897266,94.98798716,96.01936623,95.92264281,96.72381985,96.81103908,95.61853555,96.8736244,96.29011593,95.89784875,98.72348587,99.47568653,99.06269664,98.78991794,99.94923047,100.4358215,100.48021,100.2838432,100.6707546,101.1085026,100.6977557,100.5046797,101.6574757,102.172201,102.0881751,101.3718885,100.9850118,100.8565422,100,99.72094891,99.38545907,99.10560087,99.30650904,99.02485007,99.26954039,100.4283557,100.2663866,101.4188795,101.3570571,100.4110529,101.0594585
"Índice nacional de precios productor. Base Julio 2019=100 (SCIAN 2013), Construcción, Materiales, alquiler de maquinaria y remuneraciones, Índice general, Subíndice materiales de construcción, 02. Cemento y concreto, Concreto premezclado",68.05136893,68.22407845,68.38000307,68.359188,68.4393259,68.43681165,68.50243218,68.57869459,68.59295021,68.65429482,68.74003169,68.93223599,69.84619391,70.17472746,70.66044085,70.9842547,70.88509999,70.80647553,71.03054145,71.23144449,71.35336798,71.26896233,71.0503475,71.14652025,72.10866264,72.89442131,73.08158031,73.77318289,74.08146766,74.15551069,74.7906028,76.88804585,76.95513116,76.97733958,77.34754198,77.60348629,78.54396103,79.56982195,80.15173404,80.42854502,80.60145169,80.59912417,81.39103167,82.07402616,82.62754371,82.90552668,82.92284572,83.02450994,85.81758697,89.66482594,89.87968683,90.31251477,90.49601699,90.50436507,91.94252533,93.63631795,93.7097671,93.80350032,93.74958913,93.72717792,95.14718716,96.118801,96.33528521,96.88341077,96.91833323,97.24616883,96.98618886,97.48479421,97.91404282,97.4954631,97.81640737,97.81640737,99.4843156,99.93501211,99.69385138,100.0000838,100.1212543,100.141333,100,100.535391,100.4804079,100.4179071,100.2260382,100.4189663,100.7065911,100.4400642,100.509502,100.9675711,101.0709153,101.0709153,100.9303806
